Mcf;Americas;Northeast Asia;Mideast;South/SE Asia;Europe;Global;Month-on-month change
lut.16;1 993 109;0;0;0;0;1 993 109;
mar.16;3 270 357;0;3 391 066;2 843 575;0;9 504 998;7 511 889
kwi.16;6 310 025;0;0;0;3 700 091;10 010 116;505 118
maj.16;6 230 224;0;3 609 595;0;0;9 839 819;-170 297
cze.16;12 803 718;0;0;3 617 006;0;16 420 724;6 580 905
lip.16;6 073 832;3 132 116;3 566 496;0;2 930 435;15 702 879;-717 845
sie.16;21 763 267;0;0;3 701 179;0;25 464 446;9 761 567
wrz.16;3 315 009;0;6 819 896;3 638 872;2 941 284;16 715 061;-8 749 385
paź.16;0;0;2 941 921;0;0;2 941 921;-13 773 140
lis.16;16 240 236;7 341 166;0;3 114 776;6 213 758;32 909 936;29 968 015
gru.16;6 879 707;27 586 136;3 606 162;0;2 935 638;41 007 643;8 097 707
sty.17;13 615 300;13 923 726;2 939 021;3 622 568;14 311 789;48 412 404;7 404 761
lut.17;17 357 366;14 043 092;6 322 933;3 399 239;9 093 960;50 216 590;1 804 186
mar.17;16 612 708;7 041 520;10 015 236;6 278 570;3 520 905;43 468 939;-6 747 651
kwi.17;29 759 655;10 693 562;10 130 630;0;0;50 583 847;7 114 908
maj.17;16 890 895;16 947 844;16 795 400;0;10 106 782;60 740 921;10 157 074
cze.17;31 369 148;11 114 471;0;3 412 882;6 530 457;52 426 958;-8 313 963
lip.17;21 329 209;21 456 552;3 409 793;0;3 878 871;50 074 425;-2 352 533
sie.17;6 860 462;10 319 716;10 710 724;0;13 914 146;41 805 048;-8 269 377
wrz.17;16 571 735;27 570 516;0;0;10 522 784;54 665 035;12 859 987
paź.17;17 750 397;56 009 970;3 372 582;0;2 980 271;80 113 220;25 448 185
lis.17;13 594 894;44 946 238;0;7 057 436;14 394 066;79 992 634;-120 586
gru.17;6 997 695;58 136 381;7 135 068;3 427 012;6 782 622;82 478 778;2 486 144
sty.18;13 369 918;38 485 259;6 553 756;6 964 078;6 960 971;72 333 982;-10 144 796
lut.18;18 025 716;48 976 350;3 300 285;0;3 278 774;73 581 125;1 247 143
mar.18;45 737 293;21 817 699;3 694 174;13 941 402;6 266 742;91 457 310;17 876 185
kwi.18;26 133 338;46 472 544;3 293 275;6 511 802;3 252 599;85 663 558;-5 793 752
maj.18;23 155 462;40 933 611;20 337 731;10 340 294;0;94 767 098;9 103 540
cze.18;33 569 424;30 007 482;3 201 097;6 716 705;0;73 494 708;-21 272 390
lip.18;44 761 666;30 851 603;0;5 918 057;6 156 565;87 687 891;14 193 183
sie.18;50 670 924;31 340 415;7 162 069;0;2 296 394;91 469 802;3 781 911
wrz.18;14 234 457;40 876 077;3 637 851;5 910 158;16 676 342;81 334 885;-10 134 917
paź.18;7 076 233;45 209 271;3 666 464;7 130 565;26 746 947;89 829 480;8 494 595
lis.18;11 773 226;27 498 732;7 390 370;0;43 351 469;90 013 797;184 317
gru.18;17 154 614;54 564 736;0;10 834 923;40 085 159;122 639 432;32 625 635
sty.19;17 243 786;37 862 729;0;7 030 184;64 689 010;126 825 709;4 186 277
lut.19;19 058 762;31 534 078;3 694 795;17 603 186;30 898 092;102 788 913;-24 036 796
mar.19;28 772 961;25 156 251;0;17 359 630;59 426 915;130 715 757;27 926 844
kwi.19;25 405 983;33 359 010;10 409 120;7 062 498;50 526 019;126 762 630;-3 953 127
maj.19;42 964 263;28 527 609;10 834 017;20 739 910;41 736 868;144 802 667;18 040 037
cze.19;62 593 247;34 983 332;10 801 047;6 649 175;26 796 908;141 823 709;-2 978 958
lip.19;56 456 680;53 904 567;10 341 133;10 711 224;27 334 980;158 748 584;16 924 875
sie.19;33 840 488;38 100 154;10 180 742;9 894 088;46 409 769;138 425 241;-20 323 343
wrz.19;29 227 235;38 901 868;6 931 384;24 100 620;60 967 946;160 129 053;21 703 812
paź.19;19 317 713;69 874 801;0;13 895 666;74 687 715;177 775 895;17 646 842
lis.19;12 977 857;46 001 148;0;13 878 019;117 324 359;190 181 383;12 405 488
gru.19;19 839 574;63 023 091;0;17 136 493;120 057 263;220 056 421;29 875 038
sty.20;22 683 217;86 222 223;0;10 271 922;130 948 272;250 125 634;30 069 213
lut.20;31 656 228;39 545 680;0;7 001 623;144 150 244;222 353 775;-27 771 859
mar.20;20 921 277;74 626 035;3 197 074;31 638 716;110 168 257;240 551 359;18 197 584
kwi.20;24 661 003;63 785 953;3 296 927;31 057 262;87 594 930;210 396 075;-30 155 284
maj.20;27 882 041;55 847 168;6 768 792;21 336 747;70 411 421;182 246 169;-28 149 906
cze.20;5 542 526;52 959 790;3 276 770;10 100 155;37 017 439;108 896 680;-73 349 489
lip.20;3 732 854;31 468 618;6 594 044;17 962 143;36 331 132;96 088 791;-12 807 889
sie.20;20 219 821;50 054 299;13 246 183;16 697 844;9 955 629;110 173 776;14 084 985
wrz.20;14 947 588;59 232 703;10 126 231;20 366 655;46 339 830;151 013 007;40 839 231
paź.20;45 517 232;84 544 101;3 602 556;31 186 300;57 904 580;222 754 769;71 741 762
lis.20;43 052 892;133 369 043;0;25 098 140;79 052 664;280 572 739;57 817 970
gru.20;47 365 127;151 616 397;0;10 241 297;94 908 573;304 131 394;23 558 655
sty.21;45 056 214;169 527 162;0;30 884 689;62 608 076;308 076 141;3 944 747
lut.21;41 050 333;39 780 165;0;13 776 031;82 660 273;177 266 802;-130 809 339
mar.21;56 848 981;101 801 671;6 647 459;27 670 832;124 635 353;317 604 296;140 337 494
kwi.21;32 559 768;103 870 415;6 929 983;41 977 854;121 339 131;306 677 151;-10 927 145
maj.21;63 516 356;119 562 595;0;41 748 928;89 951 948;314 779 827;8 102 676
cze.21;59 201 035;141 117 229;7 126 467;23 371 696;40 351 822;271 168 249;-43 611 578
lip.21;84 912 428;127 085 084;0;29 967 573;57 978 578;299 943 663;28 775 414
sie.21;75 942 952;132 131 497;3 297 680;34 702 615;55 574 309;301 649 053;1 705 390
